incident_type,description,sub_description,,
1,Fire,Fire,,
10,"Fire, other",Fire,,
100,"Fire, other",Fire,,
11,Structure Fire,Structure fire,,
110,"Structure fire, other (conversion only)",Fire,,
111,Building fire,Structure fire,,
112,Fires in structure other than in a building,Fire,,
113,"Cooking fire, confined to container",Fire,,
114,"Chimney or flue fire, confined to chimney or flue",Fire,,
115,"Incinerator overload or malfunction, fire confined",Fire,,
116,"Fuel burner/boiler malfunction, fire confined",Fire,,
117,"Commercial Compactor fire, confined to rubbish",Fire,,
118,"Trash or rubbish fire, contained",Fire,,
12,Fire in mobile property used as a fixed structure,Fire,,
120,"Fire in mobile prop. used as a fixed struc., other",Fire,,
121,Fire in mobile home used as fixed residence,Fire,,
122,"Fire in motor home, camper, recreational vehicle",Fire,,
123,"Fire in portable building, fixed location",Fire,,
13,Mobile property (vehicle) fire,Vehicle Fire,,
130,"Mobile property (vehicle) fire, other",Vehicle Fire,,
131,Passenger vehicle fire,Vehicle Fire,,
132,Road freight or transport vehicle fire,Vehicle Fire,,
133,Rail vehicle fire,Rail vehicle fire,,
134,Water vehicle fire,Fire,,
135,Aircraft fire,Fire,,
136,Self-propelled motor home or recreational vehicle,Fire,,
137,Camper or recreational vehicle (RV) fire,Vehicle Fire,,
138,Off-road vehicle or heavy equipment fire,Vehicle Fire,,
14,Natural vegetation fire,Field fire,,
140,"Natural vegetation fire, other",Field fire,,
141,"Forest, woods or wildland fire",Field fire,,
142,Brush or brush-and-grass mixture fire,Field fire,,
143,Grass fire,Field fire,,
15,Outside rubbish fire,Fire,,
150,"Outside rubbish fire, other",Fire,,
151,"Outside rubbish, trash or waste fire",Fire,,
152,Garbage dump or sanitary landfill fire,Fire,,
153,Construction or demolition landfill fire,Fire,,
154,Dumpster or other outside trash receptacle fire,Fire,,
155,Outside stationary compactor/compacted trash fire,Fire,,
16,Special outside fire,Fire,,
160,"Special outside fire, other",Fire,,
161,Outside storage fire,Fire,,
162,Outside equipment fire,Fire,,
163,Outside gas or vapor combustion explosion,Fire,,
164,Outside mailbox fire,Fire,,
17,"Cultivated vegetation, crop fire",Fire,,
170,"Cultivated vegetation, crop fire, other",Fire,,
171,Cultivated grain or crop fire,Fire,,
172,Cultivated orchard or vineyard fire,Fire,,
173,Cultivated trees or nursery stock fire,Fire,,
2,"Overpressure Rupture, Explosion, Overheat(no fire)",Fire,,
20,"Overpressure rupture, explosion, overheat, other",Fire,,
200,"Overpressure rupture, explosion, overheat other",Fire,,
21,Overpressure rupture from steam (no ensuing fire),Fire,,
210,"Overpressure rupture from steam, other",Fire,,
211,Overpressure rupture of steam pipe or pipeline,Fire,,
212,Overpressure rupture of steam boiler,Fire,,
213,Steam rupture of pressure or process vessel,Fire,,
22,Overpressure rupture from air or gas (no fire),Fire,,
220,"Overpressure rupture from air or gas, other",Fire,,
221,Overpressure rupture of air or gas pipe/pipeline,Fire,,
222,Overpressure rupture of boiler from air or gas,Fire,,
223,Air or gas rupture of pressure or process vessel,Fire,,
23,"Overpressure rupture, chemical reaction (no fire)",Fire,,
231,Chemical reaction rupture of process vessel,Fire,,
24,Explosion (no fire),Fire,,
240,"Explosion (no fire), other",Fire,,
241,Munitions or bomb explosion (no fire),Fire,,
242,Blasting agent explosion (no fire),Fire,,
243,Fireworks explosion (no fire),Fire,,
244,Dust explosion (no fire),Fire,,
25,"Excessive heat, scorch burns with no ignition",Fire,,
251,"Excessive heat, scorch burns with no ignition",Fire,,
3,Rescue & Emergency Medical Service Incident,Rescue,,
30,"Rescue, emergency medical call (EMS), other",Rescue,,
300,"Rescue, EMS incident, other",Rescue,,
31,Medical assist,EMS,,
311,"Medical assist, assist EMS crew",EMS,,
32,Emergency medical service (EMS) incident,EMS,,
320,"Emergency medical service incident, other",EMS,,
321,"EMS call, excluding vehicle accident with injury",MVA,,
322,Motor vehicle accident with injuries,MVA,,
323,Motor vehicle/pedestrian accident (MV Ped),MVA,,
324,Motor vehicle accident with no injuries.,MVA,,
33,Lock-In,Other,,
331,"Lock-in (if lock out , use 511 )",Other,,
34,Search for lost person,Other,,
340,"Search for lost person, other",Other,,
341,Search for person on land,Other,,
342,Search for person in water,Other,,
343,Search for person underground,Other,,
35,"Extrication, rescue",Rescue,,
350,"Extrication, rescue, other",Rescue,,
351,Extrication of victim(s) from building/structure,Rescue,,
352,Extrication of victim(s) from vehicle,Rescue,,
353,Removal of victim(s) from stalled elevator,Rescue,,
354,Trench/below-grade rescue,Rescue,,
355,Confined space rescue,Rescue,,
356,High-angle rescue,Rescue,,
357,Extrication of victim(s) from machinery,Rescue,,
36,Water or ice-related rescue,Rescue,,
360,"Water & ice-related rescue, other",Rescue,,
361,Swimming/recreational water areas rescue,Rescue,,
362,Ice rescue,Rescue,,
363,Swift water rescue,Rescue,,
364,Surf rescue,Rescue,,
365,Watercraft rescue,Rescue,,
37,Electrical rescue,Rescue,,
370,"Electrical rescue, other",Rescue,,
371,Electrocution or potential electrocution,Rescue,,
372,Trapped by power lines,Rescue,,
38,Rescue or EMS standby,Rescue,,
381,Rescue or EMS standby,Rescue,,
4,Hazardous Condition (No Fire),Haz Mat,,
40,"Flammable gas or liquid condition, other",Haz Mat,,
400,"Hazardous condition, other",Haz Mat,,
41,Combustible/flammable spills & leaks,Haz Mat,,
410,"Combustible/flammable gas/liquid condition, other",Haz Mat,,
