alarm_time,incident_type,description,response_time
2013-08-31 13:35:24 UTC,111,Building fire,5.35
2013-08-31 10:29:57 UTC,321,EMS call  excluding vehicle accident with injury,6.42
2013-08-30 11:45:00 UTC,311,Medical assist  assist EMS crew,6.33
2013-08-29 20:58:22 UTC,381,Rescue or EMS standby,4.58
2013-08-29 18:23:29 UTC,311,Medical assist  assist EMS crew,3.03
2013-08-26 18:48:24 UTC,311,Medical assist  assist EMS crew,7.25
2013-08-26 15:47:53 UTC,311,Medical assist  assist EMS crew,5.35
2013-08-24 22:30:50 UTC,311,Medical assist  assist EMS crew,5.08
2013-08-24 15:33:36 UTC,411,Gasoline or other flammable liquid spill,13.67
2013-08-23 23:23:08 UTC,321,EMS call  excluding vehicle accident with injury,5.92
2013-08-23 07:16:12 UTC,553,Public service,0.02
2013-08-22 17:12:11 UTC,322,Motor vehicle accident with injuries,4.27
2013-08-22 11:15:32 UTC,113,Cooking fire  confined to container,8.6
2013-08-21 21:29:21 UTC,311,Medical assist  assist EMS crew,9.05
2013-08-21 14:12:35 UTC,151,Outside rubbish  trash or waste fire,2.07
2013-08-21 08:20:45 UTC,322,Motor vehicle accident with injuries,0.48
2013-08-20 18:33:52 UTC,551,Assist police or other governmental agency,8.5
2013-08-20 11:31:36 UTC,311,Medical assist  assist EMS crew,2.73
2013-08-20 08:11:20 UTC,321,EMS call  excluding vehicle accident with injury,0.93
2013-08-18 10:09:27 UTC,321,EMS call  excluding vehicle accident with injury,6.13
2013-08-17 21:27:56 UTC,322,Motor vehicle accident with injuries,4.23
2013-08-17 15:24:50 UTC,554,Assist invalid,7.65
2013-08-17 12:53:04 UTC,322,Motor vehicle accident with injuries,8.37
2013-08-16 17:17:36 UTC,311,Medical assist  assist EMS crew,7.6
2013-08-15 19:05:42 UTC,311,Medical assist  assist EMS crew,4.52
2013-08-15 10:15:25 UTC,111,Building fire,8.5
2013-08-15 00:54:59 UTC,311,Medical assist  assist EMS crew,7.53
2013-08-13 22:15:29 UTC,311,Medical assist  assist EMS crew,6.37
2013-08-13 22:04:50 UTC,700,False alarm or false call  Other,7.45
2013-08-13 16:47:31 UTC,321,EMS call  excluding vehicle accident with injury,2.08
2013-08-13 14:41:13 UTC,311,Medical assist  assist EMS crew,5.85
2013-08-12 22:27:19 UTC,550,Public service assistance  Other,14.98
2013-08-12 14:48:42 UTC,700,False alarm or false call  Other,8.27
2013-08-12 13:06:24 UTC,311,Medical assist  assist EMS crew,2.02
